index	﻿TIME	FSC-A	FSC-H	FSC-W	BSC-A	BSC-H	BSC-W	lck: EGFP-A-Compensated
lckgfp_s237	1397.551	56289.19	60004.0	156.0	34626.35	31180.8	156.0	1337.707
lckgfp_s238	529.8878	141659.8	94500.0	247.0	332760.1	163722.7	247.0	1930.544
lckgfp_s239	121.09	89285.3	84856.8	182.0	53744.12	45032.96	182.0	3253.888
lckgfp_s240	161.826	63173.67	58353.12	161.0	21626.92	16552.48	161.0	1827.292
lckgfp_s241	1286.264	51329.9	50659.84	150.0	44972.98	39970.56	150.0	1645.325
lckgfp_s242	482.9554	58927.88	62914.88	161.0	34530.13	32081.28	161.0	3141.936
lckgfp_s243	1422.289	217503.9	102416.2	294.0	252944.5	117168.8	294.0	1461.736
lckgfp_s244	557.6613	44170.16	48718.88	143.0	190694.4	199851.7	143.0	1967.158
lckgfp_s245	346.9472	107855.0	111218.2	187.0	215426.7	165604.3	187.0	4344.42
lckgfp_s246	1489.165	37998.0	37329.6	122.0	27024.28	28667.52	122.0	2141.516
lckgfp_s247	1219.236	55250.89	49486.08	153.0	50115.12	46893.28	153.0	1841.065
lckgfp_s248	1262.866	39842.62	41459.04	133.0	23734.09	22244.32	133.0	2706.292
lckgfp_s249	389.0612	38909.44	36559.04	119.0	32582.85	29257.76	119.0	1993.348
lckgfp_s250	230.2857	37883.25	41003.2	130.0	26196.86	25584.16	130.0	1570.223
lckgfp_s251	205.3833	210873.5	100478.6	307.0	360395.1	268399.0	307.0	1688.207
lckgfp_s252	870.339	41426.68	43489.6	136.0	32437.56	32560.64	136.0	2860.344
lckgfp_s253	133.1073	54002.94	54093.76	153.0	29438.64	26068.0	153.0	3146.212
lckgfp_s254	1153.308	55989.79	51712.64	155.0	67108.45	59903.2	155.0	1480.641
lckgfp_s255	919.4061	70243.59	53838.4	170.0	126497.9	91048.16	170.0	1609.507
lckgfp_s256	877.1534	37533.88	38829.28	125.0	26131.11	28740.32	125.0	2211.604
lckgfp_s257	541.7352	74000.31	80215.52	171.0	38904.52	36029.28	171.0	1323.093
lckgfp_s258	1356.914	61016.0	49165.76	161.0	117843.4	76087.2	161.0	2648.811
lckgfp_s259	59.5924	47721.04	52365.6	148.0	51468.39	48422.08	148.0	1896.525
lckgfp_s260	1055.438	69837.07	66808.0	167.0	54665.97	40708.64	167.0	2135.057
lckgfp_s261	911.7431	80885.97	83036.8	175.0	78650.73	67863.04	175.0	2818.391
lckgfp_s262	318.6646	37291.19	41622.56	131.0	50415.46	54517.12	131.0	1599.155
lckgfp_s263	1257.775	41253.95	44920.96	137.0	81318.16	70161.28	137.0	1699.93
lckgfp_s264	1527.071	288814.1	167541.9	315.0	745853.7	327462.3	315.0	2271.532
lckgfp_s265	391.5417	49401.52	49991.2	149.0	35651.45	33340.16	149.0	1457.297
lckgfp_s266	208.9836	102505.8	82253.92	198.0	42568.39	27442.24	198.0	3176.427
lckgfp_s267	1009.429	37321.21	41613.6	132.0	30150.96	29976.8	132.0	2087.619
lckgfp_s268	219.304	35704.35	39362.4	125.0	84303.73	90101.76	125.0	1358.336
lckgfp_s269	1442.826	48805.19	51029.44	149.0	32423.4	30965.76	149.0	1619.475
lckgfp_s270	1297.943	77039.45	81646.88	172.0	43032.21	35689.92	172.0	2547.344
lckgfp_s271	1353.975	50464.23	46066.72	147.0	29694.28	26902.4	147.0	2975.408
lckgfp_s272	190.4966	59823.32	62964.16	162.0	30986.59	28471.52	162.0	2429.006
lckgfp_s273	256.437	51671.41	54493.6	152.0	34373.57	32193.28	152.0	1604.375
lckgfp_s274	238.0709	43568.27	45158.4	140.0	30790.49	30236.64	140.0	1966.465
lckgfp_s275	546.0104	43290.59	44033.92	140.0	31169.17	34894.72	140.0	1901.715
lckgfp_s276	1179.635	54291.38	44471.84	151.0	52369.12	45176.32	151.0	2081.5
lckgfp_s277	1516.326	45847.13	46874.24	144.0	41258.16	38514.56	144.0	1579.085
lckgfp_s278	425.5381	69485.27	66413.76	168.0	67847.43	54761.28	168.0	1731.84
lckgfp_s279	1518.677	33968.28	36645.28	117.0	34886.07	39719.68	117.0	2750.781
lckgfp_s280	1367.8	46487.24	38758.72	133.0	46064.73	45472.0	133.0	1746.247
lckgfp_s281	187.6502	46762.87	48488.16	146.0	35445.59	36283.52	146.0	2638.799
lckgfp_s282	554.2507	238723.2	217179.2	234.0	502318.0	288406.7	234.0	19458.19
lckgfp_s283	1391.542	56350.25	57268.96	157.0	46852.22	42162.4	157.0	2358.195
lckgfp_s284	522.1342	69449.31	67602.08	170.0	50178.02	41637.12	170.0	1732.887
lckgfp_s285	1266.659	257856.6	256231.4	218.0	900700.2	611453.9	218.0	15467.16
